# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 1
#    norm     : ZK
# 1) Frequency, 2) Amps
0.013029  0.000004
0.026057  0.000004
0.039086  0.000002
0.052114  0.000003
0.065143  0.000007
0.078172  0.000010
0.091200  0.000015
0.104229  0.000005
0.117257  0.000007
0.130286  0.000007
0.143315  0.000010
0.156343  0.000018
0.169372  0.000015
0.182400  0.000004
0.195429  0.000013
0.208458  0.000015
0.221486  0.000006
0.234515  0.000011
0.247544  0.000010
0.260572  0.000012
0.273601  0.000014
0.286629  0.000015
0.299658  0.000015
0.312687  0.000006
0.325715  0.000008
0.338744  0.000011
0.351772  0.000010
0.364801  0.000009
0.377830  0.000010
0.390858  0.000013
0.403887  0.000002
0.416915  0.000004
0.429944  0.000006
0.442973  0.000007
0.456001  0.000010
0.469030  0.000008
0.482058  0.000015
0.495087  0.000007
0.508116  0.000003
0.521144  0.000000
0.534173  0.000007
0.547201  0.000009
0.560230  0.000009
0.573259  0.000010
0.586287  0.000016
0.599316  0.000008
0.612345  0.000002
0.625373  0.000007
0.638402  0.000009
0.651430  0.000011
0.664459  0.000024
0.677488  0.000019
0.690516  0.000013
0.703545  0.000013
0.716573  0.000011
0.729602  0.000003
0.742631  0.000000
0.755659  0.000010
0.768688  0.000004
0.781716  0.000011
0.794745  0.000006
0.807774  0.000003
0.820802  0.000001
0.833831  0.000004
0.846859  0.000004
0.859888  0.000004
0.872917  0.000010
0.885945  0.000003
0.898974  0.000015
0.912002  0.000010
0.925031  0.000003
0.938060  0.000005
0.951088  0.000004
0.964117  0.000011
0.977146  0.000011
0.990174  0.000016
1.003203  0.000010
1.016231  0.000005
1.029260  0.000012
1.042289  0.000014
1.055317  0.000011
1.068346  0.000011
1.081374  0.000006
1.094403  0.000010
1.107432  0.000007
1.120460  0.000010
1.133489  0.000006
1.146517  0.000008
1.159546  0.000008
1.172575  0.000017
1.185603  0.000012
1.198632  0.000005
1.211660  0.000008
1.224689  0.000007
1.237718  0.000008
1.250746  0.000001
1.263775  0.000006
1.276803  0.000024
1.289832  0.000005
1.302861  0.000004
1.315889  0.000006
1.328918  0.000004
1.341947  0.000004
1.354975  0.000004
1.368004  0.000008
1.381032  0.000003
1.394061  0.000003
1.407090  0.000008
1.420118  0.000006
1.433147  0.000008
1.446175  0.000003
1.459204  0.000004
1.472233  0.000001
1.485261  0.000004
1.498290  0.000004
1.511318  0.000006
1.524347  0.000002
1.537376  0.000017
1.550404  0.000005
1.563433  0.000008
1.576461  0.000007
1.589490  0.000001
1.602519  0.000003
1.615547  0.000010
1.628576  0.000008
1.641604  0.000003
1.654633  0.000005
1.667662  0.000005
1.680690  0.000008
1.693719  0.000002
1.706748  0.000005
1.719776  0.000002
1.732805  0.000007
1.745833  0.000004
1.758862  0.000015
1.771891  0.000002
1.784919  0.000002
1.797948  0.000004
1.810976  0.000006
1.824005  0.000001
1.837034  0.000011
1.850062  0.000004
1.863091  0.000009
1.876119  0.000004
1.889148  0.000004
1.902177  0.000012
1.915205  0.000006
1.928234  0.000008
1.941262  0.000007
1.954291  0.000008
1.967320  0.000010
1.980348  0.000007
1.993377  0.000005
2.006405  0.000004
2.019434  0.000005
2.032463  0.000005
2.045491  0.000005
2.058520  0.000009
2.071549  0.000006
2.084577  0.000004
2.097606  0.000002
2.110634  0.000008
2.123663  0.000002
2.136692  0.000004
2.149720  0.000013
2.162749  0.000006
2.175777  0.000014
2.188806  0.000008
2.201835  0.000003
2.214863  0.000009
2.227892  0.000005
2.240920  0.000005
2.253949  0.000007
2.266978  0.000002
2.280006  0.000003
2.293035  0.000005
2.306063  0.000008
2.319092  0.000004
2.332121  0.000006
2.345149  0.000001
2.358178  0.000003
2.371206  0.000001
2.384235  0.000003
2.397264  0.000004
2.410292  0.000005
2.423321  0.000001
2.436350  0.000002
2.449378  0.000008
2.462407  0.000005
2.475435  0.000004
2.488464  0.000003
2.501493  0.000008
2.514521  0.000005
2.527550  0.000002
2.540578  0.000008
2.553607  0.000006
2.566636  0.000006
2.579664  0.000007
2.592693  0.000001
2.605721  0.000003
2.618750  0.000006
2.631779  0.000006
2.644807  0.000001
2.657836  0.000002
2.670864  0.000004
2.683893  0.000001
2.696922  0.000006
2.709950  0.000007
2.722979  0.000007
2.736007  0.000005
2.749036  0.000004
2.762065  0.000003
2.775093  0.000007
2.788122  0.000004
2.801150  0.000006
2.814179  0.000003
2.827208  0.000007
2.840236  0.000007
2.853265  0.000005
2.866294  0.000001
2.879322  0.000007
2.892351  0.000004
2.905379  0.000008
2.918408  0.000012
2.931437  0.000001
2.944465  0.000006
